id,company_id,rule_type,definition,date_created,last_updated
73,84,regex_and_mcc,"{""pattern"": ""MACY'S"", ""mcc_code"": 5311}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
74,409,regex_and_mcc,"{""pattern"": ""NORDSTROM"", ""mcc_code"": 5311}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
75,87,regex_and_mcc,"{""pattern"": ""SEARS"", ""mcc_code"": 5311}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
76,636,regex_and_mcc,"{""pattern"": ""DOLLAR GENERAL"", ""mcc_code"": 5331}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
77,354,regex_and_mcc,"{""pattern"": ""DOLLAR TR"", ""mcc_code"": 5331}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
78,357,regex_and_mcc,"{""pattern"": ""FAMILY DOLLAR"", ""mcc_code"": 5331}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
79,655,regex_and_mcc,"{""pattern"": ""FIVE BELOW"", ""mcc_code"": 5331}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
80,68,regex_and_mcc,"{""pattern"": ""AMAZON"", ""mcc_code"": 5399}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
81,462,regex_and_mcc,"{""pattern"": ""COSTCO"", ""mcc_code"": 5399}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
82,354,regex_and_mcc,"{""pattern"": ""DOLLAR TREE"", ""mcc_code"": 5399}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
83,68,regex_and_mcc,"{""pattern"": ""AMAZON"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
84,199,regex_and_mcc,"{""pattern"": ""BFRESH"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
85,164,regex_and_mcc,"{""pattern"": ""CITY MARKET"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
86,462,regex_and_mcc,"{""pattern"": ""COSTCO"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
87,190,regex_and_mcc,"{""pattern"": ""CUB FOODS"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
88,165,regex_and_mcc,"{""pattern"": ""DILLONS"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
89,734,regex_and_mcc,"{""pattern"": ""FAREWAY STORES"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
90,191,regex_and_mcc,"{""pattern"": ""FARM FRESH"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
91,166,regex_and_mcc,"{""pattern"": ""FOOD 4 LESS"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
92,200,regex_and_mcc,"{""pattern"": ""FOOD LION"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
93,167,regex_and_mcc,"{""pattern"": ""FRED MEYER"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
94,201,regex_and_mcc,"{""pattern"": ""GIANT"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
95,202,regex_and_mcc,"{""pattern"": ""HANNAFORD"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
96,170,regex_and_mcc,"{""pattern"": ""HARRIS TEETER"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
97,192,regex_and_mcc,"{""pattern"": ""HORNBACHER'S"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
98,172,regex_and_mcc,"{""pattern"": ""KING SOOPERS"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
99,162,regex_and_mcc,"{""pattern"": ""KROGER"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
100,203,regex_and_mcc,"{""pattern"": ""MARTIN'S"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
101,204,regex_and_mcc,"{""pattern"": ""PEAPOD"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
102,177,regex_and_mcc,"{""pattern"": ""RALPHS"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
103,500,regex_and_mcc,"{""pattern"": ""SAVE A LOT"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
104,193,regex_and_mcc,"{""pattern"": ""SHOP 'N SAVE"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
105,194,regex_and_mcc,"{""pattern"": ""SHOPPERS FOOD & PHARMACY"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
106,520,regex_and_mcc,"{""pattern"": ""SPROUTS FARMERS"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
107,205,regex_and_mcc,"{""pattern"": ""STOP & SHOP"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
108,195,regex_and_mcc,"{""pattern"": ""SUPERVALU"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
109,460,regex_and_mcc,"{""pattern"": ""TARGET"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
110,79,regex_and_mcc,"{""pattern"": ""WAL-MART"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
111,79,regex_and_mcc,"{""pattern"": ""WALMART"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
112,518,regex_and_mcc,"{""pattern"": ""WHOLE FOODS"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
113,79,regex_and_mcc,"{""pattern"": ""WM SUPERCENTER"", ""mcc_code"": 5411}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
114,20,regex_and_mcc,"{""pattern"": ""SEE'S CANDIES"", ""mcc_code"": 5441}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
115,459,regex_and_mcc,"{""pattern"": ""7-ELEVEN"", ""mcc_code"": 5499}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
116,185,regex_and_mcc,"{""pattern"": ""CIRCLE K"", ""mcc_code"": 5499}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
117,187,regex_and_mcc,"{""pattern"": ""CORNER STORE"", ""mcc_code"": 5499}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
118,658,regex_and_mcc,"{""pattern"": ""CARMAX"", ""mcc_code"": 5511}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
119,640,regex_and_mcc,"{""pattern"": ""BEST BUY"", ""mcc_code"": 5521}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
120,645,regex_and_mcc,"{""pattern"": ""ADVANCE AUTO"", ""mcc_code"": 5533}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
